KSAID,Description,Withdrawn?,CISSP,ISSAP,ISSEP,ISSMP,SSCP,CAP,CSSLP,HCISPP,CCSP
S0078,Skill in recognizing and categorizing types of vulnerabilities and associated attacks.,,"1,1","4,2", ,"2.3, 3.1.6, 3.2, 4","6.2, 7.1", ,"3.1, 4.2",6.1.7,"5.4.5, 5.7"
S0079,"Skill in protecting a network against malware. (e.g., NIPS, anti-malware, restrict/prevent external devices, spam filters).",,"7,8","2, 3", ,2,"6, 7", , ,6,"1.3.4, 5.4.5, 5.7"
S0080,Skill in performing damage assessments.,,"7,7", , , ,"4,3", , ,"6.2, 6.3.7","5.4.5, 5.7"
S0081,"Skill in using network analysis tools to identify vulnerabilities. (e.g., fuzzing, nmap, etc.).",,"6,1","4.2, 6.5", , ,"3.2, 7", ,"3.1, 5.1.3",6.1.7,"1.3.4, 2.8.2, 5.4.5, 5.7"
S0082,Skill in evaluating test plans for applicability and completeness.,,"6,1", ,"3.5, 4.2.2","1, 2", ,"4.2.3, 5.1.5","5,2",6,"5.4.5, 5.7"
S0083,Skill in integrating black box security testing tools into quality assurance process of software releases.,,"8,1",6, ,2,"3.2, 7.1.2", ,5.2.3,"5.3.5, 5.4.2","4.3.3, 4.4"
S0084,"Skill in configuring and utilizing network protection components (e.g., Firewalls, VPNs, network intrusion detection systems).",,"7,8","3, 3.4", , ,"6.3, 6.4, 6.5", , ,6,"1.3.4, 3.1.4, 5.3.7, 5.7.2"
S0085,Skill in conducting audits or reviews of technical systems.,,"6,1","1.2.7, 4",5.2.2,"6,4","2.5.4, 3.2.1, 3.2.4, 7.3.6", , ,"5.2.4, 6.2,  6.3.7","1.2.5, 2.8, 3.4.5, 6.3"
S0086,Skill in evaluating the trustworthiness of the supplier and/or product.,,1.11.2,"4.1.2, 4.3","5.1.3, 5.1.5",3.2.2, , , ,6,6.5.2
S0087,"Skill in deep analysis of captured malicious code (e.g., malware forensics).",,7.1.3, , , ,"7,1", ,"7,8",6,2.8.2
S0088,"Skill in using binary analysis tools (e.g., Hexedit, command code xxd, hexdump).",,7.1.3, , , ,"4.1.2, 6.5", ,7.8.1,6,2.8.2
S0089,"Skill in one-way hash functions (e.g., Secure Hash Algorithm [SHA], Message Digest Algorithm [MD5]).",,3.5.4,"3.6, 6.1, 6.4", , ,"5,1", ,8.2.5,6,2.3.2
S0090,Skill in analyzing anomalous code as malicious or benign.,,"7.1.3, 8.3",6, , ,7, ,"7,8",6, 
S0091,Skill in analyzing volatile data.,,"7.1.3, 7.1.4", , , , , ,"7,8",6, 
S0092,Skill in identifying obfuscation techniques.,,7.1.4, , , ,7, ,"7,8",6,2.3.6
S0093,"Skill in interpreting results of debugger to ascertain tactics, techniques, and procedures.",,7.1.3,6, , ,7, ,"4,9",6, 
S0094,Skill in reading Hexadecimal data.,,8.1.1, , , ,7, ,7.8.1, , 
S0095,"Skill in identifying common encoding techniques (e.g., Exclusive Disjunction [XOR], American Standard Code for Information Interchange [ASCII], Unicode, Base64, Uuencode, Uniform Resource Locator [URL] encode).",,8.1.1, , , ,7, ,"7,8", , 
S0096,"Skill in reading and interpreting signatures (e.g., snort).",,7.3.1, , , ,"4.1.2, 6.5", , , , 
S0097,Skill in applying security controls.,,"3,3","2,5","3.4, 3.5.2","1.1, 1.4, 2.3, 2.5, 6.3","1.1, 1.4, 2.3, 2.5, 6.3","2, 3","3,11","6.1.9, 6.2, 6.4", 
S0098,WITHDRAWN: Skill in detecting host and network based intrusions via intrusion detection technologies. (See S0025),X, ,X,X,X,X, , , ,X
S0099,"WITHDRAWN: Skill in determining how a security system should work and how changes in conditions, operations, or the environment will affect these outcomes. (See S0027)",X, ,X,X,X,X, , , ,X
S0100,"Skill in utilizing or developing learning activities (e.g., scenarios, instructional games, interactive exercises). ",,"1,12", , ,"1,6", , , ,"5.2.3, 5.3.7", 
S0101,"Skill in utilizing technologies (e.g., SmartBoards, websites, computers, projectors) for instructional purposes. ",,"1,12", , ,"1,6", , , ,"5.2.3, 5.3.7", 
S0102,Skill in applying technical delivery capabilities.,,1.12.1, ,5, , , , , , 
S0103,Skill in assessing the predictive power and subsequent generalizability of a model.,,"3,2", , , , , , , , 
S0104,Skill in conducting Test Readiness Reviews.,,"6,1", , ,"1,6", ,"4.2.3, 5.1.5","5,2",6, 
S0105,WITHDRAWN: Skill in data mining techniques. (See S0202),X, ,X,X,X, , , , ,X
S0106,"Skill in data pre-processing (e.g., imputation, dimensionality reduction, normalization, transformation, extraction, filtering, smoothing).",,"1.9.2, 6.4", , , , , , , , 
S0107,Skill in designing and documenting overall program Test & Evaluation strategies.,,"6,1", ,"3,5","1,6", ,"4.2.3, 5.1.5","5,2",6,"4,4"
S0108,Skill in developing workforce and position qualification standards.,,"1,8", , ,"1,6", , , ,2.3.2,1.5.1
S0109,Skill in identifying hidden patterns or relationships.,,"7,3", , ,"1, 3", , ,"7,8", , 
S0110,"Skill in identifying Test & Evaluation infrastructure (people, ranges, tools, instrumentation) requirements.",,"6,1", ,"3,5","1,6", ,"4.2.3, 5.1.5","5,2",6, 
S0111,Skill in interfacing with customers.,,"1,8","1, 2, 3, 4, 5, 6", ,1, , , ,"1, 6", 
S0112,"Skill in managing test assets, test resources, and test personnel to ensure effective completion of test events.",,"1.8, 6.1", , ,1, , ,"5,2",6,2.8.1
S0113,Skill in performing format conversions to create a standard representation of the data.,,"6,4", , , , , , , , 
S0114,Skill in performing sensitivity analysis.,,1.9.7, , , , , , , ,2.8.2
S0115,Skill in preparing Test & Evaluation reports.,,"6,1", ,"3,5","1.6.3, 1.7, 3.2.6, 4.2.7, 6.3.4", ,"4.2.3, 5.1.5","5,2",6, 
S0116,Skill in designing multi-level security/cross domain solutions.,,"6,1","1, 2, 3, 4, 5, 6","3,3",1, , , ,6, 
S0117,Skill in providing Test & Evaluation resource estimate.,,"6,1", ,"3,5",1, , ,"5,2",6, 
S0118,Skill in developing machine understandable semantic ontologies.,,1.9.7, , , , , , , , 
S0119,"Skill in Regression Analysis (e.g., Hierarchical Stepwise, Generalized Linear Model, Ordinary Least Squares, Tree-Based Methods, Logistic).",,1.9.7,"5,2", , , , , ,6,2.8.2
S0120,Skill in reviewing logs to identify evidence of past intrusions.,,"7,3",2.2.1, , ,"3.3, 3.4","7,3", ,6,"5.3.7, 5.5.2, 5.7.2"
S0121,"Skill in system, network, and OS hardening techniques. (e.g., remove unnecessary services, password policies, network segmentation, enable logging, least privilege, etc.).",,"3,5","1, 2, 3, 6","1,4", ,"2, 2.6.3, 6, 7.1.4",4,3.7.8,"2.3, 5.2.4, 5.2.7","1.3.4, 2.7, 2.8.2, 3.1.2"
S0122,Skill in the use of design methods. ,,"3,1",5,"3,3",1.3.5, , ,"3,11", , 
S0123,"Skill in transformation analytics (e.g., aggregation, enrichment, processing).",,"7.1.3, 7.3", , , , , , , , 
S0124,Skill in troubleshooting and diagnosing cyber defense infrastructure anomalies and work through resolution.,,"3,5",2.2.3, , , , , ,6, 
S0125,"Skill in using basic descriptive statistics and techniques (e.g., normality, model distribution, scatter plots).",,"7,3",5, , , , , , , 
S0126,"Skill in using data analysis tools (e.g., Excel, STATA SAS, SPSS).",,"7,3", , , , , , ,6,2.8.2
S0127,Skill in using data mapping tools.,,"2,1", , , , , , ,6,2.5.1
S0128,Skill in using manpower and personnel IT systems.,,"1,8", , ,"1, 2.2", , , ,6, 
S0129,Skill in using outlier identification and removal techniques.,,"7,3", , , , , , ,6, 
S0130,"Skill in writing scripts using R, Python, PIG, HIVE, SQL, etc.",,3.5.3, , , , , ,3.7.7,6, 
S0131,Skill in analyzing malware.,,7.1.3, , , ,"7,1", ,7.8.1, , 
S0132,Skill in conducting bit-level analysis.,,7.1.3, , , ,"4.1.2, 6.5", ,7.8.1, ,2.8.2
S0133,"Skill in processing digital evidence, to include protecting and making legally sound copies of evidence.",,7.1.1, , ,6,"4,2", ,"7,8","4.1, 4.2, 4.3","5,5"
S0134,Skill in conducting reviews of systems.,,"6,1","2.5.2, 6.1",4.2.3,"1, 2", , , ,6, 
S0135,"Skill in secure test plan design (e. g. unit, integration, system, acceptance).",,"6,1",2.5.3,"3,4","2.1, 2.2","2,6","4.2.3, 5.1.5","5,2","5.4.2, 6.6.4", 
S0136,"Skill in network systems management principles, models, methods (e.g., end-to-end systems performance monitoring), and tools.",,"3,4",2, ,"1, 2",6, , ,5.2.4,"1.2.5, 1.3.4, 3.1.2, 5.3.4"
S0137,Skill in conducting application vulnerability assessments.,,6.2.1,6, ,"2.3, 3.1.6, 3.2","3,2","5.2, 7.3","7,9","5.2.5, 6.1.7, 6.2, 6.3.7", 
S0138,"Skill in using Public-Key Infrastructure (PKI) encryption and digital signature capabilities into applications (e.g., S/MIME email, SSL traffic).",,"3,9","3.6, 6.1, 6.4", , , , ,4.1.14,5.2.2,"1.3.1, 2.3.1"
S0139,"Skill in applying security models (e.g., Bell-LaPadula model, Biba integrity model, Clark-Wilson integrity model).",,"3,9","1, 2",1,2,"1.4, 2.3", ,4.1.14,3.1.1,3.1.6
S0140,Skill in applying the systems engineering process.,,"3,1", ,5,1.3.5, , , ,2.3.3, 
S0141,Skill in assessing security systems designs.,,"6,1","2.5.3, 4.2.1, 5.2.4, 6.5","3,5","2, 2.3, 3.1.6, 3.2,  6.4  ","3.2, 7.1.2","1,2,3,4,5,6,7", ,6, 
S0142,Skill in conducting research for troubleshooting novel client-level problems.,,"7,11", , , , , , ,4.1.6, 
S0143,"Skill in conducting system/server planning, management, and maintenance.",,3.5.2, ,3, , , , ,6,3.1.6
S0144,Skill in correcting physical and technical problems that impact system/server performance.,,3.5.2, ,"4,2", , , , ,6.1.5,"1.2.5, 5.3.4"
S0145,Skill in integrating and applying policies that meet system security objectives.,,"1,6","2.2.2, 2.5, 2.7.4","3,4","1.4, 2.2","2,5", , ,"2.3, 5.4.2","2,7"
S0146,"Skill in creating policies that enable systems to meet performance objectives (e.g. traffic routing, SLA's, CPU specifications).",,"3,3","2.2.2, 2.5, 2.7.4", ,"1.4, 2.2", , , ,"2,3","1.2.5, 2.7"
S0147,"Skill in assessing security controls based on cybersecurity principles and tenets. (e.g., CIS CSC, NIST SP 800-53, Cybersecurity Framework, etc.).",,"3,3","5,1","3,5","1.4, 6.3","3.1.3, 3.2",4,6.9.3,"4.3.2, 6.1.9, 6.2, 6.4", 
S0148,"Skill in designing the integration of technology processes and solutions, including legacy systems and modern programming languages. ",,"3,5","2, 3, 6",3,"2.1, 2.2", , ,3.7.7,"2.3.3, 5.4.2", 
S0149,"Skill in developing applications that can log and handle errors, exceptions, and application faults and logging.",,7.3.3,"2.2, 3.5, 6", , ,"2.5.4, 3.2.1, 3.2.4, 3.3.2, 7.3.6", , ,5.2.4, 
S0150,Skill in implementing and testing network infrastructure contingency and recovery plans.,,"7,11","2,3", ,"5,1","4.1, 4.1.5, 4.3","4.2.3, 5.1.5", ,"5.2.9, 5.2.10", 
S0151,"Skill in troubleshooting failed system components (i.e., servers)",,3.5.2,2.7.1,"4,2", , , , , , 
S0152,"Skill in translating operational requirements into protection needs (i.e., security controls).",,"3,3","2.1, 4.1.4","3.1.6, 3.1.7, 3.2.4","1, 2","2.3, 3.1","2, 3",6.9.4,"6.1.9, 6.2, 6.4", 
S0153,"Skill in identifying and anticipating system/server performance, availability, capacity, or configuration problems.",,"3,4", ,"3,2", ,"2.2.3, 3.3, 3.4, 4.3, 6.4 ", , , ,"1.2.5, 5.3.4"
S0154,"Skill in installing system and component upgrades. (i.e., servers, appliances, network devices).",,"7,4",2, , , , , ,6, 
S0155,Skill in monitoring and optimizing system/server performance.,,3.5.2, , , ,6, , ,5.2.4,"1.2.5, 5.3.4"
S0156,Skill in performing packet-level analysis.,,"4.1.1, 7.1.4",2.2.1, , ,"4.1.2, 6.5", , ,6, 
S0157,"Skill in recovering failed systems/servers. (e.g., recovery software, failover clusters, replication, etc.).",,3.5.2,"2,3", , , , , ,"5.2.9, 5.2.10", 
S0158,"Skill in operating system administration. (e.g., account maintenance, data backups, maintain system performance, install and configure new hardware/software).",,"3,5", , , , , , ,5.2.10,"5.1.4, 5.2.3, 5.3.2 5.3.6 "
S0159,Skill in configuring and validating network workstations and peripherals in accordance with approved standards and/or specifications.,,"4,1",4, , , , , ,2.3.2,"5,1"
S0160,"Skill in the use of design modeling (e.g., unified modeling language).",,"2,5","2, 3, 6","3,3", , , ,"3,5", , 
S0161,WITHDRAWN: Integrated into S0160,X, ,X,X,X,X, , , ,X
S0162,"Skill in applying various subnet techniques (e.g., CIDR)",,4.1.2,"2,7", , , , , ,6,3.1.2
S0163,WITHDRAWN: Integrated into S0060,X, ,X,X,X,X, , , ,X
S0164,Skill in assessing the application of cryptographic standards.,,"3,9","5,2", ,"2.3, 3.1.6, 3.2","5,2", ,4.1.14,2.3.2,"1.3.1, 1.5.1"
S0165,"WITHDRAWN: Skill in collecting, packaging, transporting, and storing electronic evidence to avoid alteration, loss, physical damage, or destruction of data. (See S0068)",X, ,X,X,X,X, , , ,X
S0166,Skill in identifying gaps in technical delivery capabilities.,,1.8.1,4.2.1,"5,3", , , , ,6.5.3, 
S0167,"Skill in recognizing vulnerabilities in security systems. (e.g., vulnerability and compliance scanning).",,6.2.1,4,"1.4, 3.5.1","2.3, 3.1.6, 3.2","3,2","5.2, 7.2, 7.3","3.1, 5.1","5.2.5, 6.1.7", 
S0168,Skill in setting up physical or logical sub-networks that separate an internal local area network (LAN) from other untrusted networks.,,"4,1","2,7", , ,6, , ,6,"1.3.4, 3.1.1, 3.1.2"
S0169,Skill in conducting trend analysis.,,"7,3","2,2", ,"3, 4", , , , , 
S0170,"Skill in configuring and utilizing computer protection components (e.g., hardware firewalls, servers, routers, as appropriate).",,"7,8","3, 6", , ,"6.5, 7.2",4, ,6,"4.6.1, 5.3.7"
S0171,Skill in performing impact/risk assessments.,,"1,9",4.2.1,"2.1.2, 2.1.4, 2.2.7","3,2","3, 3.1","1, 2, 3, 4, 5, 6, 7","3,4",6,6
S0172,Skill in applying secure coding techniques. ,,8.5.3,6, , ,7.1.2, ,3.7.7, , 
S0173,Skill in using security event correlation tools.,,"7,3","2,2",2.1.2,4,"3.3, 3.4",7, ,5.3.12,"2,8"
S0174,Skill in using code analysis tools.,,7.3.2,6, , ,"4.1.2, 6.5, 7.1.2", ,"4,2", ,2.8.2
S0175,Skill in performing root cause analysis.,,7.1.3,4,"2,1",4.2.8,"3,1", ,7.8.1, ,2.8.2
S0176,"Skill in administrative planning activities, to include preparation of functional and specific support plans, preparing and managing correspondence, and staffing procedures.",,1.2.1, ,3,1, ,"3,4", ,2.3.3, 
S0177,Skill in analyzing a target's communication networks.,,6.2.2, , , ,"3.2, 4.1.2, 6.5, 7.1.2", , , ,3.1.2
S0178,"Skill in analyzing essential network data (e.g., router configuration files, routing protocols).",,"4,2",2, , ,"6.5, 6.5.3", , ,6,"1.3.4, 3.1.2"
S0179,Skill in analyzing language processing tools to provide feedback to enhance tool development.,,"7,5", , , , , , , , 
S0180,WITHDRAWN: Integrated into S0062,X, ,X,X,X,X, , , ,X
S0181,Skill in analyzing midpoint collection data.,,"7,5", , , , , ,"7,7",6, 
S0182,Skill in analyzing target communications internals and externals collected from wireless LANs.,,6.2.2, , , , , , ,6, 
S0183,Skill in analyzing terminal or environment collection data.,,"7,3", , , , , ,"7,7",6, 
S0184,Skill in analyzing traffic to identify network devices.,,"4.1.1, 6.2.2", , , ,"6, 7.1", , ,6,"1.3.4, 3.1.2"
S0185,Skill in applying analytical methods typically employed to support planning and to justify recommended strategies and courses of action.,,"1,9", , , , , , , , 
S0186,Skill in applying crisis planning procedures.,,"7,12", , ,"4.2, 5.1", , , ,2.3.3, 
S0187,"Skill in applying various analytical methods, tools, and techniques (e.g., competing hypotheses; chain of reasoning; scenario methods; denial and deception detection; high impact-low probability; network/association or link analysis; Bayesian, Delphi, and Pattern analyses).",,"7,5", , , ,3, ,6.9.4,6.1.5, 
S0188,"Skill in assessing a target's frame of reference (e.g., motivation, technical capability, organizational structure, sensitivities).",,"1,10", , , , , , , , 
S0189,Skill in assessing and/or estimating effects generated during and after cyber operations.,,"1,9", , , , , , ,6, 
S0190,Skill in assessing current tools to identify needed improvements.,,"6.1,  6.2.7","2.5.1, 6.1", ,"2, 6.3", , , ,6.1.1, 
S0191,Skill in assessing the applicability of available analytical tools to various situations.,, , , , , , , ,3.1.1, 
S0192,"Skill in auditing firewalls, perimeters, routers, and intrusion detection systems.",, ,"1.2.7, 4", ,"6,4","3.2, 6.5, 7.2", , ,"5.2.4, 6.2,  6.3.7","2.8, 6.3"
S0193,Skill in complying with the legal restrictions for targeted information.,, , , ,6, ,"1,3", ,"4.1, 4.2, 4.3", 
S0194,Skill in conducting non-attributable research.,,6.2.2, , , , , ,"3,1",4.1.6, 
S0195,Skill in conducting research using all available sources.,,6.2.2, , , , , , ,4.1.6, 
S0196,Skill in conducting research using deep web.,,6.2.2, , , , , ,"3,1",4.1.6, 
S0197,"Skill in conducting social network analysis, buddy list analysis, and/or cookie analysis.",,6.2.2, , , ,"4.1.2, 6.5", , ,6, 
S0198,Skill in conducting social network analysis.,,6.2.2, , , ,"3,2", , ,6, 
S0199,Skill in creating and extracting important information from packet captures.,,4.1.1, , , , , , ,6, 
S0200,Skill in creating collection requirements in support of data acquisition activities.,,"7,3", , , , , ,"7,7", , 
S0201,"Skill in creating plans in support of remote operations. (i.e., hot/warm/cold/alternative sites, disaster recovery).",,"7,12","2,3", ,"1, 5","4.1, 4.1.5, 4.3","3.4, 4", ,"5.2.9, 5.2.10","1.4.2, 3.5 "
S0202,"Skill in data mining techniques (e.g., searching file systems) and analysis.",,7.1.3, , , ,"3,2", ,7.8.1,6,2.8.2
S0203,Skill in defining and characterizing all pertinent aspects of the operational environment.,,"7,5", , , , ,"1.1.4, 1.2.1.3, 2.1.1,2.1.2, 2.1.3", ,1.3.2, 
S0204,Skill in depicting source or collateral data on a network map.,,"2,1", , , , , , ,6,"1.3.4, 3.1.2"
S0205,Skill in determining appropriate targeting options through the evaluation of available capabilities against desired effects.,,6.2.2, , , , , , , , 
S0206,Skill in determining installed patches on various operating systems and identifying patch signatures.,,6.2.2, , ,2.1.3,"2.6.3, 7.1.4","3, 4, 5, 6.1","7,9",6.1.1,5.3.3
S0207,Skill in determining the effect of various router and firewall configurations on traffic patterns and network performance in both LAN and WAN environments.,,"4.2, 7.8.1","2, 3", , ,"3.2, 3.3, 3.4, 6.5, 7.2", , ,6,"1.3.4, 3.1.2, 5.3"
S0208,Skill in determining the physical location of network devices.,,4.1.3, , , , ,"1.1.4, 1.2.1.3, 2.1.1,2.1.2, 2.1.3", ,6,"1.3.4, 3.1.1, 3.1.2"
S0209,Skill in developing and executing comprehensive cyber operations assessment programs for assessing and validating operational performance characteristics.,,"6,1","2.5.1, 6.1", , , ,"1, 2, 3, 4, 5, 6, 7", ,6, 
S0210,Skill in developing intelligence reports.,,"6,2", , , , , , , , 
S0211,Skill in developing or recommending analytic approaches or solutions to problems and situations for which information is incomplete or for which no precedent exists.,,"1,9", , , , , , , , 
S0212,Skill in disseminating items of highest intelligence value in a timely manner.,,1.9.7, , , , , , , , 
S0213,Skill in documenting and communicating complex technical and programmatic information.,,"1,9", , , , , , ,"2.3, 3.3.2, 6", 
S0214,Skill in evaluating accesses for intelligence value.,,"1,9", , , , , , ,"5.2.1, 5.3.4",2.6.1
S0215,Skill in evaluating and interpreting metadata.,,1.9.7, , , , , ,7.8.1, , 
S0216,Skill in evaluating available capabilities against desired effects to provide effective courses of action.,,"3,3", , , , , , ,3.1.1, 
S0217,"Skill in evaluating data sources for relevance, reliability, and objectivity.",,"7,3", , , , , , , , 
S0218,"Skill in evaluating information for reliability, validity, and relevance.",,"7,3", , , , , , , , 
S0219,"Skill in evaluating information to recognize relevance, priority, etc.",,"7,3", , , , , , , , 
S0220,Skill in exploiting/querying organizational and/or partner collection databases.,,6.2.2, , , ,3.2.1, ,"7,7","1,2", 
S0221,Skill in extracting information from packet captures.,,6.2.2, , , , , , , , 
S0222,Skill in fusion analysis,,"7,3", , , , , , , , 
S0223,Skill in generating operation plans in support of mission and target requirements.,,1.2.1, , , , , , , , 
S0224,Skill in gisting target communications.,,6.2.2, , , , , , , , 
S0225,Skill in identifying a target’s communications networks.,,6.2.2, , , , , , ,6.1.1, 
S0226,Skill in identifying a target's network characteristics. ,,6.2.2, , , , , , ,6.1.1,1.3.4
S0227,Skill in identifying alternative analytical interpretations to minimize unanticipated outcomes.,,1.9.2, , , , , , , , 
S0228,"Skill in identifying critical target elements, to include critical target elements for the cyber domain.",,6.2.2, , , , , , ,6.1.1, 
S0229,Skill in identifying cyber threats which may jeopardize organization and/or partner interests.,,"1,10","4,2",3.1.4, , , ,"3,1","1.2, 6.1.6, 7","1.3.6, 2.2.2, 3.3.2"
S0230,WITHDRAWN: Integrated into S0066,X, ,X,X,X, , , , ,X
S0231,Skill in identifying how a target communicates.,,6.2.2, , , , , , , , 
S0232,Skill in identifying intelligence gaps and limitations.,,"7,3", , , , , , ,6.5.3, 
S0233,Skill in identifying language issues that may have an impact on organization objectives.,,1.2.1, , , , , , ,6.1.5, 
S0234,Skill in identifying leads for target development.,,6.2.2, , , , , , , , 
S0235,Skill in identifying non-target regional languages and dialects,,6.2.2, , , , , , , , 
S0236,Skill in identifying the devices that work at each level of protocol models.,,4.1.1,"2.7, 3.1", , , , , ,6.1.1, 
S0237,"Skill in identifying, locating, and tracking targets via geospatial analysis techniques",,7.1.4, , , , , , , , 
S0238,Skill in information prioritization as it relates to operations.,,"7,3", , , , , , , , 
S0239,Skill in interpreting compiled and interpretive programming languages.,,8.1.1, , , , , ,3.7.7, , 
S0240,Skill in interpreting metadata and content as applied by collection systems.,,"7,3", , , , , ,"7,7", , 
S0241,"Skill in interpreting traceroute results, as they apply to network analysis and reconstruction. ",,4.1.2, , , ,"4.1.2, 6.5", , ,6,"1.3.4, 2.8.2"
S0242,Skill in interpreting vulnerability scanner results to identify vulnerabilities.,,6.2.1, ,"1.4, 3.5.1", ,"2.5.4, 3.2.1, 3.2.4, 4.1.2, 6.5, 7.3.6","5.2, 7.3","3.1, 5.2","5.2.5, 6.1.7", 
S0243,"Skill in knowledge management, including technical documentation techniques (e.g., Wiki page).",,"1,12", ,5.3.7, , , , ,6, 
S0244,"Skill in managing client relationships, including determining client needs/requirements, managing client expectations, and demonstrating commitment to delivering quality results.",,"6,2", ,"3, 5", , , ,"2,1","5.3.5, 7.3.1", 
S0245,Skill in navigating network visualization software.,,3.5.6,2, , ,"7,4", , , ,1.3.4
S0246,Skill in number normalization.,,"7,3", , , , , , , , 
S0247,Skill in performing data fusion from existing intelligence for enabling new and continued collection.,,"7,3", , , , , ,"7,7", , 
S0248,Skill in performing target system analysis.,,6.2.2, , , , , , , , 
S0249,Skill in preparing and presenting briefings.,,"6,2","1, 2, 3, 4, 5, 6", ,1, ,"1.2.1, 3.4, 5.1.6, 6.1, 6.1.3,  7.3.2", ,6, 
S0250,Skill in preparing plans and related correspondence.,,"1,6","1, 2, 3, 4, 5, 6","3.1, 3.2",1, ,"1.2.1, 3.4, 5.1.6, 6.1, 6.1.3,  7.3.2", ,6, 
S0251,Skill in prioritizing target language material.,,6.2.2, , , , , , , , 
S0252,Skill in processing collected data for follow-on analysis.,,"7,3", , , , , , , ,2.8.2
S0253,"Skill in providing analysis on target-related matters (e.g., language, cultural, communications).",,6.2.2, , , , , , , , 
S0254,Skill in providing analysis to aid writing phased after action reports.,,6.2.2, , ,"1.6.3, 1.7, 3.2.6, 4.2.7, 6.3.4", , , ,6.6.5, 
S0255,"Skill in providing real-time, actionable geolocation information utilizing target infrastructures.",,"7,3", , , , , , , , 
S0256,"Skill in providing understanding of target or threat systems through the identification and link analysis of physical, functional, or behavioral relationships.",,6.2.2, , , , , ,"3,1","3.1.1, 6.1.6",1.3.6
S0257,"Skill in reading, interpreting, writing, modifying, and executing simple scripts (e.g., PERL, VBS) on Windows and Unix systems (e.g., those that perform tasks like parsing large data files, automating manual tasks, and fetching/processing remote data).",,8.1.1, , , , , ,3.7.7,6, 
S0258,Skill in recognizing and interpreting malicious network activity in traffic.,,"7,3",2.2.1, , , , , ,6,1.3.4
S0259,Skill in recognizing denial and deception techniques of the target.,,6.2.2, , , , , , ,6, 
S0260,Skill in recognizing midpoint opportunities and essential information.,,6.2.2, , , , , , ,6, 
S0261,Skill in recognizing relevance of information.,,"7,3", , , , , , ,6, 
S0262,Skill in recognizing significant changes in a target’s communication patterns.,,6.2.2, , , , , , ,6, 
S0263,Skill in recognizing technical information that may be used for leads for metadata analysis.,,"7,3", , , , ,4,7.8.1,6, 
S0264,"Skill in recognizing technical information that may be used for leads to enable remote operations (data includes users, passwords, email addresses, IP ranges of the target, frequency in DNI behavior, mail servers, domain servers, SMTP header information).",,4.1.2, , , , ,4,7.8.1,6, 
S0265,Skill in recognizing technical information that may be used for target development including intelligence development. ,,6.2.2, , , , , , , , 
S0266,"Skill in relevant programming languages (e.g., C++, Python, etc.). ",,8.1.1,6, , , , ,3.7.7, , 
S0267,Skill in remote command line and Graphic User Interface (GUI) tool usage.,,"3.4, 3.5",2.7.5, , , , , ,6,5.3.1
S0268,Skill in researching essential information.,,"7,3", , , , ,"1, 2, 3, 4, 7","3,1",4.1.6, 
S0269,Skill in researching vulnerabilities and exploits utilized in traffic.,,6.2.1, , , ,"3.2, 7.1","5, 5.3.1, 7.3","3,1","4.1.6, 6.1.7", 
S0270,"Skill in reverse engineering (e.g., hex editing, binary packaging utilities, debugging, and strings analysis) to identify function and ownership of remote tools.",,"7,3", , , ,7.1.4, ,"4,9",6,2.8.2
S0271,Skill in reviewing and editing assessment products.,,"6,1", ,2.2.7, , ,"5.3.1, 5.4.3, 6.3, 7.3","5,7",6, 
S0272,Skill in reviewing and editing intelligence products from various sources for cyber operations.,,"6,1", , , , , , , , 
S0273,Skill in reviewing and editing plans.,,"6,1", ,5.3.2, , ,"1.2.1, 3.4, 5.1.6, 6.1, 6.1.3,  7.3.2","5,2",6, 
S0274,Skill in reviewing and editing target materials.,,"6,2", , , , , , ,6, 
S0275,Skill in server administration.,,3.5.2,"3,4", , , , , ,6, 
S0276,"Skill in survey, collection, and analysis of wireless LAN metadata.",,4.1.6, , , ,"6,6", ,"7,7",6,2.8.2
S0277,"Skill in synthesizing, analyzing, and prioritizing meaning across data sets.",,"7,3", , , , , , ,6,2.8.2
S0278,"Skill in tailoring analysis to the necessary levels (e.g., classification and organizational).",,"6.2.2, 7.3", , , , , , ,"6, 7","2.5, 2.8.2"
S0279,Skill in target development in direct support of collection operations.,,6.2.2, , , , , ,"7,7", , 
S0280,"Skill in target network anomaly identification (e.g., intrusions, dataflow or processing, target implementation of new technologies).",,6.2.2, , , ,"3.4.1, 6.5, 7.2", , ,"1.3.1, 6.1.1",1.3.4
S0281,Skill in technical writing.,,1.2.1, ,"5,3","1,6", ,"1.2.1, 3.4, 5.1.6, 6.1, 6.1.3,  7.3.2", ,6, 
S0282,Skill in testing and evaluating tools for implementation.,,"7,4", ,"3,4", , , ,"5,1", , 
S0283,Skill in transcribing target language communications.,,6.2.2, , , , , , , , 
S0284,Skill in translating target graphic and/or voice language materials.,,6.2.2, , , , , , , , 
S0285,Skill in using Boolean operators to construct simple and complex queries.,,3.5.3, , , , , ,7.8.1, , 
S0286,Skill in using databases to identify target-relevant information.,,"3.5.3, 6.2.2", , , , , , , , 
S0287,Skill in using geospatial data and applying geospatial resources.,,"7.1.3, 7.3", , , , , , ,6, 
S0288,"Skill in using multiple analytic tools, databases, and techniques (e.g., Analyst’s Notebook, A-Space, Anchory, M3, divergent/convergent thinking, link charts, matrices, etc.).",,7.1.4, , , , , ,7.8.1,6, 
